Anand	1971	8.9	122	Hrishikesh Mukherjee	Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal, Ramesh Deo
Khilona	1970	7.2	160	Chander Vohra	Sanjeev Kumar, Mumtaz, Durga Khote, Bipin Gupta
Aradhana	1969	7.6	169	Shakti Samanta	Rajesh Khanna, Sharmila Tagore, Sujit Kumar, Farida Jalal
Brahmachari	1968	6.7	157	Bhappi Sonie	Shammi Kapoor, Rajshree, Pran, Mumtaz
Upkar	1967	7.6	175	Manoj Kumar	Asha Parekh, Manoj Kumar, Prem Chopra, Kanhaiyalal Chaturvedi
Guide	1965	8.5	183	Vijay Anand	Dev Anand, Waheeda Rehman, Leela Chitnis, Anwar Hussain
Himalay Ki Godmein	1965	7.1	157	Vijay Bhatt	Mala Sinha, Manoj Kumar, Shashikala, Jayant
Dosti	1964	8.4	163	Satyen Bose	Sudhir Kumar, Sushil Kumar, Sanjay Khan, Baby Farida
Bandini	1963	7.8	157	Bimal Roy	Ashok Kumar, Nutan, Dharmendra, Raja Paranjpe
Sahib Bibi Aur Ghulam	1962	8.3	152	Abrar Alvi	Meena Kumari, Guru Dutt, Rehman, Waheeda Rehman
Jis Desh Men Ganga Behti Hai	1960	7.2	167	Radhu Karmakar	Raj Kapoor, Padmini, Pran, Chanchal
Mughal-E-Azam	1960	8.4	197	K. Asif	Prithviraj Kapoor, Madhubala, Durga Khote, Nigar Sultana
Sujata	1960	7.3	161	Bimal Roy	Nutan, Sunil Dutt, Shashikala, Lalita Pawar
Madhumati	1958	8.1	110	Bimal Roy	Dilip Kumar, Vyjayanthimala, Johnny Walker, Pran
Mother India	1957	8.1	172	Mehboob	Nargis, Sunil Dutt, Rajendra Kumar, Raaj Kumar
Jhanak Jhanak Payal Baaje	1955	7.1	143	V. Shantaram	Gopi Krishna, Sandhya, Keshavrao Date, Master Bhagwan
Jagriti	1954	7.7	140	Satyen Bose	Abhi Bhattacharya, Pranoti Ghosh, Bipin Gupta, Mumtaz Begum
Boot Polish	1954	8	149	Prakash Arora	Kumari Naaz, Rattan Kumar, David Abraham, Chand Burke
Do Bigha Zamin	1953	8.3	131	Bimal Roy	Balraj Sahni, Nirupa Roy, Rattan Kumar, Murad
